TEMP:	MU:	SIGMA:	H:	ERROR:
2.985	0.426219	0.683202	-0.148442	0.00635145
2.985	0.619278	0.832826	-0.307751	0.00796507
2.985	0.501626	0.941888	-0.237205	0.0155525
2.985	0.662091	0.925674	-0.172425	0.02108
2.985	0.631215	1.03576	-0.0235698	0.0332842
2.985	0.752625	1.09146	0.260287	0.0411851
2.985	0.824739	1.02872	0.262464	0.0383088
2.985	0.822095	1.16759	0.682001	0.0689704
2.985	0.765688	1.05167	0.216137	0.0458353
2.985	0.765688	1.05167	0.216137	0.0458353
2.985	0.894039	0.997592	0.299793	0.0428437
2.985	0.978213	0.947688	0.429374	0.0468252
2.985	1.14471	1.03756	1.71211	0.0938875
2.985	1.29987	1.12105	3.76381	0.147912
2.985	1.36363	1.01922	3.70871	0.136345
2.985	1.36363	1.01922	3.70871	0.136345
2.985	1.36363	1.01922	3.70871	0.136345
2.985	1.32361	0.947749	2.52737	0.0899246
2.985	1.32361	0.947749	2.52737	0.0899246
2.985	1.19098	0.962763	1.63018	0.078534
2.985	1.19098	0.962763	1.63018	0.078534
2.985	1.19098	0.962763	1.63018	0.078534
2.985	1.32716	0.916916	2.40944	0.0960684
2.985	1.18639	0.79554	0.76949	0.0408369
2.985	1.24691	0.656617	0.522403	0.0248115
2.985	1.24691	0.656617	0.522403	0.0248115
2.985	1.18727	0.524093	0.199833	0.00875278
2.985	1.35437	0.420869	0.982329	0.014486
2.985	1.35636	0.508241	0.897528	0.0187413
2.985	1.48406	0.478308	1.73388	0.0220431
2.985	1.31774	0.492485	0.697151	0.013512
2.985	1.22524	0.588838	0.353946	0.0176886
2.985	1.13193	0.559522	0.0217555	0.00970294
2.985	0.983572	0.659041	-0.269968	0.012384
2.985	1.06266	0.75526	0.113809	0.0224258
2.985	1.11331	0.82311	0.544735	0.0383898
2.985	1.10984	0.826369	0.515547	0.0433811
2.985	0.911104	0.932861	0.186378	0.0346093
2.985	1.05414	0.805888	0.203894	0.0334681
2.985	1.15454	0.791467	0.564508	0.0388897
2.985	1.34144	0.780298	1.72776	0.049371
2.985	1.17002	0.815922	0.725204	0.0451918
2.985	1.05579	0.829161	0.302597	0.0354515
2.985	1.21047	0.742713	0.74252	0.0355614
2.985	1.41042	0.792811	2.44791	0.0651651
2.985	1.41042	0.792811	2.44791	0.0651651
2.985	1.41042	0.792811	2.44791	0.0651651
2.985	1.27801	0.692237	0.928371	0.0362708
2.985	1.1656	0.725456	0.359864	0.0272558
2.985	1.05508	0.640018	-0.164073	0.0118909
2.985	0.964648	0.720943	-0.20058	0.0206924
2.985	0.796504	0.628555	-0.442893	0.00392493
2.985	0.728519	0.573854	-0.404927	0.00418027
2.985	0.617238	0.456054	-0.150994	0.0138753
2.985	0.539712	0.519075	-0.156657	0.00764284
2.985	0.61656	0.395794	0.212562	0.0215468
2.985	0.61656	0.395794	0.212562	0.0215468
2.985	0.486193	0.473487	-0.00554817	0.00886392
2.985	0.486193	0.473487	-0.00554817	0.00886392
2.985	0.581465	0.604156	-0.288676	0.00441632
2.985	0.404816	0.748164	-0.198845	0.00725152
2.985	0.208364	0.791289	-0.124302	0.00734215
2.985	0.365266	0.802493	-0.202539	0.00901996
2.985	0.463577	0.720821	-0.223765	0.00686994
2.985	0.328681	0.745632	-0.133618	0.00673198
2.985	0.448535	0.84671	-0.267606	0.00763223
2.985	0.343901	0.8573	-0.247586	0.00679347
2.985	0.484766	0.766676	-0.260456	0.00602769
2.985	0.640296	0.836291	-0.291098	0.0118508
2.985	0.480231	0.713547	-0.223058	0.00585517
2.985	0.50944	0.641973	-0.231051	0.00624707
2.985	0.617349	0.748844	-0.340774	0.00646682
2.985	0.782905	0.648505	-0.437324	0.00454964
2.985	0.677572	0.761349	-0.350014	0.00699961
2.985	0.716922	0.729067	-0.373871	0.00759257
2.985	0.839113	0.765943	-0.3138	0.0119281
2.985	0.87388	0.80633	-0.206244	0.0242171
