#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         572     1.50558     1.72858   0.0153095
         573     1.50363     1.72819   0.0152878
         574     1.50232     1.72779   0.0152663
         575     1.50164      1.7274   0.0152448
         576     1.50159     1.72701   0.0152234
         577     1.50212     1.72662    0.015202
         578     1.50322     1.72623   0.0151806
         579     1.50483     1.72585   0.0151592
         580     1.50692     1.72547   0.0151377
         581     1.50942      1.7251   0.0151163
         582     1.51228     1.72473   0.0150947
         583     1.51546     1.72437   0.0150731
         584      1.5189     1.72402   0.0150514
         585     1.52254     1.72368   0.0150296
         586     1.52634     1.72334   0.0150077
         587     1.53025     1.72301   0.0149857
         588     1.53424     1.72269   0.0149637
         589     1.53827     1.72238   0.0149416
         590     1.54231     1.72207   0.0149194
         591     1.54634     1.72178   0.0148971
         592     1.55034     1.72149   0.0148747
         593     1.55429      1.7212   0.0148523
         594      1.5582     1.72093   0.0148299
         595     1.56206     1.72066   0.0148073
         596     1.56586      1.7204   0.0147848
         597     1.56962     1.72015   0.0147622
         598     1.57334      1.7199   0.0147395
         599     1.57704     1.71967   0.0147168
         600     1.58072     1.71943   0.0146941
         601     1.58441     1.71921   0.0146714
         602     1.58811     1.71899   0.0146486
         603     1.59183     1.71878   0.0146259
         604     1.59561     1.71858   0.0146031
         605     1.59944     1.71838   0.0145803
         606     1.60334     1.71819   0.0145574
         607     1.60732     1.71801   0.0145346
         608      1.6114     1.71783   0.0145118
         609     1.61557     1.71766   0.0144889
         610     1.61984      1.7175    0.014466
         611     1.62421     1.71735   0.0144432
         612     1.62867     1.71721   0.0144203
         613     1.63323     1.71707   0.0143974
         614     1.63787     1.71694   0.0143745
         615     1.64257     1.71682   0.0143517
         616     1.64733     1.71671   0.0143288
         617     1.65211      1.7166    0.014306
         618     1.65691     1.71651   0.0142832
         619     1.66169     1.71642   0.0142604
         620     1.66644     1.71634   0.0142376
         621     1.67113     1.71626   0.0142148
         622     1.67573      1.7162   0.0141921
         623     1.68022     1.71614   0.0141695
         624     1.68456     1.71609   0.0141469
         625     1.68874     1.71605   0.0141243
         626     1.69273     1.71601   0.0141018
         627     1.69651     1.71598   0.0140793
         628     1.70006     1.71595   0.0140569
         629     1.70336     1.71593   0.0140346
         630      1.7064     1.71592   0.0140123
         631     1.70918     1.71591   0.0139901
         632     1.71168      1.7159    0.013968
         633     1.71391      1.7159   0.0139459
         634     1.71586      1.7159   0.0139239
         635     1.71754      1.7159    0.013902
         636     1.71897      1.7159   0.0138801
         637     1.72015     1.71591   0.0138584
         638     1.72112     1.71592   0.0138366
         639     1.72189     1.71593    0.013815
         640     1.72249     1.71594   0.0137934
         641     1.72295     1.71595   0.0137719
         642     1.72331     1.71596   0.0137504
         643     1.72361     1.71597   0.0137291
         644     1.72387     1.71599   0.0137077
         645     1.72413       1.716   0.0136865
         646     1.72443     1.71601   0.0136653
         647      1.7248     1.71602   0.0136442
         648     1.72528     1.71604   0.0136232
         649     1.72587     1.71605   0.0136022
         650     1.72661     1.71607   0.0135813
         651     1.72751     1.71609   0.0135604
         652     1.72859     1.71611   0.0135396
         653     1.72984     1.71613   0.0135189
         654     1.73127     1.71615   0.0134983
         655     1.73286     1.71618   0.0134777
         656      1.7346      1.7162   0.0134572
         657     1.73648     1.71624   0.0134367
         658     1.73848     1.71627   0.0134163
         659     1.74055     1.71631    0.013396
         660     1.74268     1.71635   0.0133758
         661     1.74484     1.71639   0.0133556
         662     1.74697     1.71644   0.0133355
         663     1.74906     1.71648   0.0133155
         664     1.75107     1.71654   0.0132955
         665     1.75296     1.71659   0.0132757
         666      1.7547     1.71665   0.0132559
         667     1.75626     1.71671   0.0132361
         668     1.75763     1.71677   0.0132164
         669     1.75877     1.71683   0.0131968
         670     1.75966      1.7169   0.0131773
         671     1.76029     1.71696   0.0131578
         672     1.76066     1.71703   0.0131384
         673     1.76074     1.71709    0.013119
         674     1.76054     1.71716   0.0130997
         675     1.76005     1.71722   0.0130805
         676     1.75929     1.71728   0.0130613
         677     1.75825     1.71734   0.0130421
         678     1.75695      1.7174    0.013023
         679     1.75538     1.71746    0.013004
         680     1.75358     1.71751   0.0129849
         681     1.75154     1.71756    0.012966
         682     1.74927     1.71761    0.012947
         683      1.7468     1.71765   0.0129282
         684     1.74414     1.71769   0.0129093
