#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         563     1.03185      1.1546   0.0103428
         564     1.02765     1.15437   0.0103269
         565     1.02362     1.15414   0.0103112
         566     1.01981      1.1539   0.0102957
         567     1.01627     1.15366   0.0102805
         568     1.01302     1.15341   0.0102653
         569     1.01012     1.15316   0.0102504
         570     1.00758      1.1529   0.0102356
         571     1.00544     1.15265   0.0102209
         572     1.00372     1.15239   0.0102064
         573     1.00242     1.15212   0.0101919
         574     1.00154     1.15186   0.0101775
         575     1.00109      1.1516   0.0101632
         576     1.00106     1.15134   0.0101489
         577     1.00142     1.15108   0.0101346
         578     1.00215     1.15082   0.0101204
         579     1.00322     1.15057   0.0101061
         580     1.00461     1.15031   0.0100918
         581     1.00628     1.15007   0.0100775
         582     1.00819     1.14982   0.0100631
         583     1.01031     1.14958   0.0100487
         584      1.0126     1.14935   0.0100343
         585     1.01503     1.14912   0.0100197
         586     1.01756     1.14889   0.0100051
         587     1.02017     1.14867   0.0099905
         588     1.02283     1.14846   0.0099758
         589     1.02551     1.14825  0.00996105
         590     1.02821     1.14805  0.00994624
         591     1.03089     1.14785  0.00993139
         592     1.03356     1.14766  0.00991649
         593      1.0362     1.14747  0.00990155
         594      1.0388     1.14729  0.00988657
         595     1.04137     1.14711  0.00987155
         596     1.04391     1.14694  0.00985651
         597     1.04641     1.14677  0.00984144
         598      1.0489      1.1466  0.00982634
         599     1.05136     1.14644  0.00981122
         600     1.05382     1.14629  0.00979609
         601     1.05627     1.14614  0.00978093
         602     1.05874     1.14599  0.00976576
         603     1.06122     1.14585  0.00975058
         604     1.06374     1.14572  0.00973538
         605     1.06629     1.14559  0.00972018
         606     1.06889     1.14546  0.00970496
         607     1.07155     1.14534  0.00968973
         608     1.07426     1.14522   0.0096745
         609     1.07705     1.14511  0.00965926
         610     1.07989       1.145  0.00964402
         611     1.08281      1.1449  0.00962877
         612     1.08578      1.1448  0.00961353
         613     1.08882     1.14471  0.00959828
         614     1.09191     1.14463  0.00958303
         615     1.09505     1.14455  0.00956779
         616     1.09822     1.14447  0.00955255
         617     1.10141      1.1444  0.00953732
         618     1.10461     1.14434  0.00952211
         619      1.1078     1.14428  0.00950691
         620     1.11096     1.14422  0.00949173
         621     1.11409     1.14418  0.00947657
         622     1.11715     1.14413  0.00946143
         623     1.12014     1.14409  0.00944632
         624     1.12304     1.14406  0.00943124
         625     1.12583     1.14403   0.0094162
         626     1.12849     1.14401  0.00940119
         627     1.13101     1.14399  0.00938622
         628     1.13337     1.14397  0.00937129
         629     1.13557     1.14396   0.0093564
         630      1.1376     1.14394  0.00934155
         631     1.13945     1.14394  0.00932675
         632     1.14112     1.14393  0.00931199
         633     1.14261     1.14393  0.00929728
         634     1.14391     1.14393  0.00928262
         635     1.14503     1.14393    0.009268
         636     1.14598     1.14394  0.00925343
         637     1.14677     1.14394   0.0092389
         638     1.14741     1.14395  0.00922442
         639     1.14793     1.14395  0.00920999
         640     1.14833     1.14396   0.0091956
         641     1.14864     1.14397  0.00918126
         642     1.14888     1.14397  0.00916696
         643     1.14907     1.14398  0.00915271
         644     1.14924     1.14399   0.0091385
         645     1.14942       1.144  0.00912433
         646     1.14962     1.14401  0.00911021
         647     1.14987     1.14402  0.00909614
